crime_code,crime_description
480,BIKE - STOLEN
510,VEHICLE - STOLEN
350,"THEFT, PERSON"
440,THEFT PLAIN - PETTY ($950 & UNDER)
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
210,ROBBERY
330,BURGLARY FROM VEHICLE
946,OTHER MISCELLANEOUS CRIME
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
310,BURGLARY
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
901,VIOLATION OF RESTRAINING ORDER
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
450,THEFT FROM PERSON - ATTEMPT
624,BATTERY - SIMPLE ASSAULT
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
900,VIOLATION OF COURT ORDER
354,THEFT OF IDENTITY
626,INTIMATE PARTNER - SIMPLE ASSAULT
886,DISTURBING THE PEACE
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
903,CONTEMPT OF COURT
648,ARSON
647,THROWING OBJECT AT MOVING VEHICLE
625,OTHER ASSAULT
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
251,SHOTS FIRED AT INHABITED DWELLING
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
806,PANDERING
888,TRESPASSING
761,BRANDISH WEAPON
220,ATTEMPTED ROBBERY
662,"BUNCO, GRAND THEFT"
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
121,"RAPE, FORCIBLE"
520,VEHICLE - ATTEMPT STOLEN
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
755,BOMB SCARE
437,RESISTING ARREST
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
753,DISCHARGE FIREARMS/SHOTS FIRED
623,BATTERY POLICE (SIMPLE)
664,"BUNCO, PETTY THEFT"
860,BATTERY WITH SEXUAL CONTACT
814,CHILD PORNOGRAPHY
924,TELEPHONE PROPERTY - DAMAGE
910,KIDNAPPING
815,SEXUAL PENETRATION W/FOREIGN OBJECT
762,LEWD CONDUCT
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
850,INDECENT EXPOSURE
110,CRIMINAL HOMICIDE
351,PURSE SNATCHING
649,DOCUMENT FORGERY / STOLEN FELONY
352,PICKPOCKET
320,"BURGLARY, ATTEMPTED"
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
890,FAILURE TO YIELD
813,CHILD ANNOYING (17YRS & UNDER)
940,EXTORTION
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
441,THEFT PLAIN - ATTEMPT
805,PIMPING
237,CHILD NEGLECT (SEE 300 W.I.C.)
760,LEWD/LASCIVIOUS ACTS WITH CHILD
666,"BUNCO, ATTEMPT"
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
763,STALKING
922,CHILD STEALING
920,KIDNAPPING - GRAND ATTEMPT
943,CRUELTY TO ANIMALS
443,SHOPLIFTING - ATTEMPT
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
933,PROWLER
820,ORAL COPULATION
122,"RAPE, ATTEMPTED"
438,RECKLESS DRIVING
756,WEAPONS POSSESSION/BOMBING
471,TILL TAP - PETTY ($950 & UNDER)
661,UNAUTHORIZED COMPUTER ACCESS
487,BOAT - STOLEN
622,BATTERY ON A FIREFIGHTER
660,COUNTERFEIT
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
452,"PICKPOCKET, ATTEMPT"
439,FALSE POLICE REPORT
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
928,THREATENING PHONE CALLS/LETTERS
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
932,PEEPING TOM
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
435,LYNCHING
434,FALSE IMPRISONMENT
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
949,ILLEGAL DUMPING
345,DISHONEST EMPLOYEE - GRAND THEFT
651,DOCUMENT WORTHLESS ($200.01 & OVER)
451,PURSE SNATCHING - ATTEMPT
948,BIGAMY
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
884,FAILURE TO DISPERSE
485,BIKE - ATTEMPTED STOLEN
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
944,CONSPIRACY
870,CHILD ABANDONMENT
353,DRUNK ROLL
652,DOCUMENT WORTHLESS ($200 & UNDER)
880,DISRUPT SCHOOL
113,"MANSLAUGHTER, NEGLIGENT"
865,"DRUGS, TO A MINOR"
436,LYNCHING - ATTEMPTED
446,PETTY THEFT - AUTO REPAIR
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
347,GRAND THEFT / INSURANCE FRAUD
954,CONTRIBUTING
942,BRIBERY
444,DISHONEST EMPLOYEE - PETTY THEFT
